size,timeStandardRandom,timeHybridRandom,timeStandardReversed,timeHybridReversed,timeStandardNearlySorted,timeHybridNearlySorted
500,510.4333919007331,325.86660236120224,411.1833986826241,313.091796124354,408.3750071004033,213.3418049197644
600,588.5914026293904,383.2919988781214,474.2416029330343,345.91659205034375,483.40000212192535,265.8998011611402
700,679.6250119805336,439.4831950776279,519.9919978622347,403.4249926917255,539.2084014602005,287.9501960705966
800,719.8414008598775,500.0750068575144,612.4334002379328,489.10840414464474,631.0666096396744,329.4666123110801
900,843.533402075991,570.8666110876948,697.7582001127303,575.1750082708895,715.2834034059197,378.3999942243099
1000,933.4920032415539,641.6166026610881,783.4665942937136,626.5336007345468,807.1834046859294,455.1914054900408
1100,1052.8665967285633,745.6418068613857,876.8833940848708,672.5752027705312,912.3416035436094,542.5248062238097
1200,1165.5581882223487,822.4336022976786,967.7914087660611,774.1498004179448,1009.9747974891216,596.6749915387481
1300,1282.0579984690994,892.0918044168502,1068.4168082661927,842.6498039625585,1172.7669974789023,662.2248096391559
1400,1430.3998032119125,991.9581993017346,1173.6663989722729,945.8915970753878,1236.4167952910066,709.5749955624342
1500,1538.0666009150445,1053.516793763265,1256.7748024594039,1061.333395773545,1339.3665954936296,775.1499942969531
1600,1680.2083991933614,1278.933195862919,1355.283206794411,1123.7500002607703,1446.1502083577216,809.2499920167029
1700,1790.35859182477,1243.4000032953918,1440.999802434817,1201.591599965468,1522.1166016999632,826.5750075224787
1800,1841.983397025615,1330.0418038852513,1529.774791561067,1297.5748046301305,1722.99180412665,912.6829856541008
1900,2039.258391596377,1454.04139184393,1743.358193198219,1448.7584063317627,1789.4083983264863,1000.1498041674495
2000,2159.8749968688935,1542.6248020958155,1779.366802657023,1443.8748068641871,1807.5249972753227,1143.3997948188335
2100,2226.633601821959,1624.3915946688503,1871.0086005739868,1427.933800732717,1935.0668007973582,1236.7249990347773
2200,2328.983205370605,1720.2834074851125,1934.9665963090956,1579.7749976627529,2090.0418050587177,1335.8247990254313
2300,2461.616601794958,1808.5749994497746,2037.8834044095129,1613.1750016938895,2154.6084026340395,1363.4917966555804
2400,2577.808202477172,1881.2499998603016,2121.775195701048,1694.1166017204523,2259.033004520461,1402.8584002517164
2500,2743.616799125448,1975.9084039833397,2229.7331888694316,1777.9829970095307,2395.183203043416,1486.8500002194196
2600,2883.200003998354,2057.0248016156256,2317.7829920314252,1862.7917976118624,2533.7833969388157,1515.65819978714
2700,2924.250002251938,2127.1331992466003,2429.6750023495406,1980.4418028797954,2571.3167968206108,1618.725003208965
2800,3061.4916002377868,2179.383405018598,2480.5248016491532,2109.275001566857,2763.08300672099,1658.5002013016492
2900,3150.233195628971,2316.7502076830715,2651.4501951169223,2155.7752043008804,2825.6415913347155,1723.7666063010693
3000,3292.874788166955,2393.541601486504,2745.133201824501,2263.158594723791,2912.891999585554,1768.9167987555265
3100,3431.2417963519692,2592.5915979314595,2872.058190405369,2402.025001356378,3013.8335947412997,1798.2418008614331
3200,3569.575003348291,2582.641795743257,2944.9663998093456,2464.0248040668666,3133.6501939222217,1877.9333971906453
3300,3657.908394234255,2691.4581889286637,2955.700200982392,2552.0418013911694,3277.7334039565176,1957.3502067942172
3400,3890.508401673287,2881.0415999032557,3207.9747994430363,2790.899999672547,3390.1498070918024,2003.8501999806613
3500,3866.5667991153896,2885.249798418954,3229.8500067554414,2803.991606924683,3494.475007755682,2105.98319536075
3600,4064.3829968757927,3073.66659399122,3332.283190684393,2873.708208790049,3542.6002054009587,2147.9336079210043
3700,4149.583209073171,3074.3668088689446,3397.441393462941,2967.949997400865,3676.183591596782,2177.9333997983485
3800,4230.541398283094,3140.924795297906,3550.49159261398,3115.441999398172,3809.4418006949127,2263.824996771291
3900,4364.449996501207,3230.758395511657,3620.0752074364573,3081.899991957471,3855.0835859496146,2351.458399789408
4000,4508.183209691197,3365.933196619153,3737.650002585724,3096.466592978686,4191.591800190508,2530.741586815566
4100,4623.891809023917,3468.708199216053,3871.4583963155746,3059.0333975851536,4063.216195208952,2713.1584007292986
4200,4811.658209655434,3641.266602789983,3985.308005940169,3273.266600444913,4240.25000538677,2848.1832065153867
4300,4973.900195909664,3744.3162000272423,4105.633206199855,3296.5581922326237,4362.4666053801775,2856.4915992319584
4400,5081.583600258455,3790.5915989540517,4178.9498005528,3529.324597911909,4499.3752089794725,2988.9085970353335
4500,5241.4418023545295,3930.024994770065,4399.5831976644695,3468.7249979469925,4607.275000307709,3016.133198980242
4600,5265.608400804922,3978.6751964129508,4483.941796934232,3608.5168016143143,4735.950194299221,3093.8500014599413
4700,5473.783210618421,4103.15019544214,4508.808592800051,3658.2001950591803,4828.7079960573465,3158.4000098519027
4800,5662.666796706617,4257.8667984344065,4637.966799782589,3732.9833896365017,4923.4831996727735,3272.7165962569416
4900,5643.774993950501,4285.399994114414,4686.133190989494,3873.2915883883834,5062.150192679837,3263.583203079179
5000,5809.674807824194,4420.125001342967,4823.741590371355,3944.3251967895776,5202.1415962371975,3337.8661959432065
5100,5957.924987887964,4483.341606101021,4961.333202663809,4073.5165937803686,5294.816585956141,3430.0751984119415
5200,6078.2997868955135,4660.458402941003,5034.041398903355,4258.866800228134,5459.749995497987,3521.992004243657
5300,6340.716598788276,4697.458207374439,5154.558195499703,4250.791593221948,5502.933409297839,3537.783201318234
5400,6363.358604721725,4811.400192556903,5323.658196721226,4348.099796334282,5640.766798751429,3601.491602603346
5500,6491.933600045741,4894.733399851248,5326.583195710555,4451.3580040074885,5800.583207746968,3719.8748032096773
5600,6617.183197522536,4974.5750031434,5450.2002079971135,4548.466799315065,5843.533395091072,3770.1415945775807
5700,6751.625001197681,5187.441594898701,5575.724795926362,4688.333405647427,6026.483396999538,3822.1747963689268
5800,6968.183605931699,5218.258406966925,5684.149794979021,4710.983595578,6112.350197508931,3888.7249946128577
5900,6999.008200364187,5306.04159575887,5786.35839628987,4930.941393831745,6313.349801348522,3949.2166019044816
6000,7427.866599755362,5528.450000565499,6090.7249979209155,5102.141801035032,6472.258205758408,4068.491596262902
6100,7419.32499804534,5560.933204833418,6015.79979993403,5111.791600938886,6555.4329950828105,4144.150001229718
6200,7505.225000204518,5701.87519188039,6137.633207254112,5277.008598204702,6561.900192173198,4139.883001334965
6300,7523.708598455414,5678.0415994580835,6202.000199118629,5269.616394070908,6665.591598721221,4224.675003206357
6400,7831.70799841173,5909.075000090525,6414.308393141255,5600.866390159354,6916.367000667378,4395.716398721561
6500,8375.09159464389,6072.133401175961,6562.608404783532,5523.4581988770515,6909.191602608189,4399.266600375995
6600,8024.375006789342,6036.84161324054,6617.191806435585,5751.200194936246,7054.216793039814,4463.775001931936
6700,8110.108401160687,6041.674810694531,6811.833201209083,5684.724991442636,7150.1168014947325,4647.1501991618425
6800,8400.008402531967,6304.6333903912455,6825.033389031887,5908.558401279151,7315.758196637034,4657.199792563915
6900,8433.33340017125,6351.366802118719,6940.2331952005625,6027.583399554715,7505.467004375532,4663.358797552064
7000,8481.824997579679,6382.658187067136,6955.71699179709,6010.083400178701,7510.11660322547,4718.44159765169
7100,8692.691603209823,6500.775198219344,7250.666402978823,6242.816598387435,7702.35019735992,4965.208197245374
7200,8890.533400699496,6853.150203824043,7396.30019525066,6438.516598427668,7868.416595738381,4942.641803063452
7300,8975.774992723018,6885.608204174787,7348.149799508974,6615.033402340487,8074.608410242945,5041.741399327293
7400,9245.058195665479,6909.025204367936,7485.316600650549,6593.75821123831,7917.658396763727,4982.024995842949
7500,9271.991602145135,7032.741798320785,7627.341797342524,6743.408407783136,8007.399801863357,4991.816595429555
7600,9312.900010263547,7056.691404432058,7617.483398644254,6740.608194377273,8098.966395482421,5029.091390315443
7700,9322.225011419505,7166.541804326698,7707.808213308454,6963.716587051749,8410.516794538125,5294.250010047108
7800,9779.183601494879,7384.71660297364,7861.758390208706,6815.349793760106,8372.63340363279,5332.041601650417
7900,9751.508600311354,7414.04999862425,8163.116802461445,6921.541807241738,8638.750191312283,5544.075195211917
8000,9828.833205392584,7495.266397017986,8057.825197465718,6734.858400886878,8821.933396393433,5809.257994405925
8100,10077.666799770668,7944.625004893169,8412.15020045638,6922.591396141797,8889.741398161277,6069.933198159561
8200,10080.833605024964,7765.241409651935,8301.266399212182,6919.833604479209,9043.074800865725,6255.7748053222895
8300,10470.483195967972,7987.083407351747,8445.974998176098,6872.94999952428,9173.016803106293,6247.083196649328
8400,10602.308198576793,8210.600004531443,8773.050212766975,7230.891799554229,9371.991391526535,6333.5751940030605
8500,10559.883405221626,8141.991798765957,8739.18299912475,7088.374992599711,9360.375005053356,6414.833193412051
8600,10728.774790186435,8279.991400195286,8819.15019126609,7229.708402883261,9425.208403263241,6461.633398430422
8700,10784.908203640953,8647.566597210243,9100.608399603516,7481.341593666002,9832.100197672844,6604.675203561783
8800,11121.266597183421,8509.883406804875,9026.666800491512,7393.224799307063,9714.491601334885,6684.6415982581675
8900,11150.783597258851,8505.16659556888,9103.791794041172,7545.7168044522405,10075.708193471655,6767.916609533131
9000,11521.749797975644,8844.349801074713,9445.633401628584,7788.475014967844,10076.25000202097,6951.183394994587
9100,11542.966804699972,8964.958391152322,9481.424791738391,7863.83340600878,10209.958400810137,6989.0336017124355
9200,11891.299992566928,9035.033406689763,9581.549791619182,7939.691800856963,10489.616799168289,6924.741604598239
9300,11887.175205629319,9188.141400227323,9626.766806468368,8281.625201925635,10912.683600327,7221.349998144433
9400,12163.683399558067,9257.000003708526,9897.56699418649,8086.341997841373,10496.225202223286,7036.058197263628
9500,11961.55840298161,9290.667000459507,10009.983403142542,8159.48320669122,10604.733397485688,6994.87499659881
9600,12070.799997309223,9281.42499178648,9899.475198471919,8267.274993704632,10751.641594106331,7380.5918043944985
9700,12425.71680340916,9555.74160325341,10284.033400239423,8554.733195342124,10912.533599184826,7381.591608282179
9800,12540.016800630838,9690.79160131514,10415.016603656113,8674.541796790436,11097.083397908136,7446.558208903298
9900,12836.875015636906,9802.491392474622,10474.366595735773,8614.916604710743,11389.116797363386,7658.266607904807
10000,13046.791608212516,10059.650207404047,10623.450006823987,8925.408398499712,11289.191612740979,7632.358599221334
